gk_positioning,gk_diving,gk_handling,gk_kicking,gk_reflexes,Cluster
10,11,6,7,9,Cluster 0
12,15,14,8,14,Cluster 0
64,74,65,68,74,Cluster 1
10,10,8,14,9,Cluster 3
61,59,62,64,64,Cluster 2
72,78,73,64,74,Cluster 1
10,5,14,12,5,Cluster 3
7,6,12,13,11,Cluster 3
11,7,10,15,12,Cluster 3
8,12,8,5,15,Cluster 0
8,10,6,10,10,Cluster 3
6,14,10,10,11,Cluster 0
9,10,13,7,13,Cluster 3
14,9,8,15,11,Cluster 3
12,8,9,8,12,Cluster 3
10,13,11,15,9,Cluster 0
14,11,15,6,7,Cluster 0
13,14,12,15,6,Cluster 0
13,14,9,7,10,Cluster 0
7,14,15,14,12,Cluster 0
13,13,8,12,11,Cluster 0
11,8,10,5,8,Cluster 3
10,6,8,14,15,Cluster 3
13,13,10,7,13,Cluster 0
14,11,7,13,8,Cluster 0
8,15,12,7,16,Cluster 0
8,13,7,13,8,Cluster 0
11,7,6,10,8,Cluster 3
6,12,14,7,6,Cluster 0
68,73,70,66,74,Cluster 1
8,6,10,12,11,Cluster 3
14,6,7,7,9,Cluster 3
7,13,9,14,8,Cluster 0
13,9,15,9,14,Cluster 3
71,72,67,64,72,Cluster 1
9,8,6,9,7,Cluster 3
12,6,13,6,14,Cluster 3
65,66,64,67,67,Cluster 1
8,15,10,11,11,Cluster 0
13,7,11,7,5,Cluster 3
15,14,9,10,14,Cluster 0
14,5,12,15,6,Cluster 3
8,13,10,12,12,Cluster 0
8,12,5,11,12,Cluster 0
12,7,12,7,15,Cluster 3
9,16,16,6,11,Cluster 0
64,59,57,64,61,Cluster 2
7,7,15,12,7,Cluster 3
15,5,8,9,13,Cluster 3
10,8,13,6,9,Cluster 3
6,6,14,10,14,Cluster 3
9,10,10,5,14,Cluster 3
7,8,15,11,7,Cluster 3
62,68,63,58,64,Cluster 2
14,12,8,12,14,Cluster 0
15,12,10,11,6,Cluster 0
63,68,62,62,71,Cluster 1
7,12,12,8,11,Cluster 0
7,8,10,12,8,Cluster 3
7,7,12,11,10,Cluster 3
13,5,15,9,10,Cluster 3
14,6,11,8,10,Cluster 3
8,5,11,12,7,Cluster 3
15,14,10,10,7,Cluster 0
8,6,10,13,14,Cluster 3
8,15,12,9,5,Cluster 0
10,14,9,9,5,Cluster 0
8,13,16,8,16,Cluster 0
7,6,13,9,7,Cluster 3
15,10,11,13,7,Cluster 0
13,9,11,9,13,Cluster 3
9,12,11,11,12,Cluster 0
13,10,8,15,5,Cluster 3
7,9,6,13,11,Cluster 3
5,6,12,6,7,Cluster 3
8,13,14,6,14,Cluster 0
11,14,11,11,11,Cluster 0
14,14,6,7,8,Cluster 0
11,13,5,13,9,Cluster 0
15,6,14,10,13,Cluster 3
5,6,9,9,9,Cluster 3
